b;membrana;BRAK;Membrana Vaxo S;1.46;100
b;laczenie membran;PODSTAWOWY;Taśma do łączenia membran i folii Ventia 20mmx25m;10.50;150
b;laczenie membran;PREMIUM;Taśma do łączenia membran i folii Ventia 50mmx25m;33.00;150
b;laczenie membran;LUX;Taśma monażowa jednostronna Permo TR 60mmx25m;45.33;150
b;reparacyjna;PODSTAWOWY;Taśma reperacyjna Ventia i Vaxo 100mmx25m;21.00;200
b;reparacyjna;PREMIUM;Taśma reperacyjna Ventia i Vaxo 50mmx25m;42.50;200
b;blacha;PODSTAWOWY;Blacha aluminiowa 0,58 - arkusze 1000 x 2000;48.50;100
b;blacha;PREMIUM;Blacha aluminiowa 0,58 - kręgi ok. 1000kg;14.50;100
b;blacha;LUX;Blacha aluminiowa 0,48 - arkusze 1000 x 2000;46.00;100
b;cegla;PODSTAWOWY;Cegła klinkierowa;3.57;200
b;podbitka;PODSTAWOWY;Podbitka;8.50;200
